id,chain_id,contract_address,symbol,last_intent_hash,last_cardano_tx_hash,last_price,last_nonce,last_timestamp,last_update_ms,last_confirmed_at_depth,update_count,total_fee_paid_lovelace
1,2,addr_test1wr00ts2tu67wa7u4w6g3pgxgcl2nvtjch7830dhwrsdajqszug5ju,BTC/USD,0xc6943b5a5121e0b9bb0552725758adc538190fdefaf892a6206b34e2a757a21e,12ab56f02a7abf5f6a47be314a0892f6dcf02dd271a5e07093c587f6b1cc7f64,64460277193970953486336,1784200812554822758,1784220597,1784220787043,1,43,
2,2,addr_test1wr00ts2tu67wa7u4w6g3pgxgcl2nvtjch7830dhwrsdajqszug5ju,LTC/USD,0xefaca62d8a426c731b027c7f6b7f9fce13a679a0b2ce3a03d73dd757e49f9658,ba4173613eedfff16fc35efed72f9fac7e18a57433723f7bc685777b178d88c6,45169309573059977216,1784200812554822033,1784219493,1784219633690,1,12,
3,2,addr_test1wr00ts2tu67wa7u4w6g3pgxgcl2nvtjch7830dhwrsdajqszug5ju,ETH/USD,0x91b381acd5992db8697badaa62f425bf75cc04599bc80d0a755cf4f477940681,12ab56f02a7abf5f6a47be314a0892f6dcf02dd271a5e07093c587f6b1cc7f64,1876487962363158986752,1784200812554822759,1784220598,1784220787050,1,42,
4,2,addr_test1wr00ts2tu67wa7u4w6g3pgxgcl2nvtjch7830dhwrsdajqszug5ju,XVG/USD,0xfb2bead3d74913378ae9006e6d53bb3c6b9c421c395c1766bce4d95af387095d,cc2740093e4b4f21421db1a0e37c162c6365182d5746033b3e13193d370eb185,2120849785494557,1784200812554821974,1784219398,1784219488722,1,12,
5,2,addr_test1wr00ts2tu67wa7u4w6g3pgxgcl2nvtjch7830dhwrsdajqszug5ju,DOGE/USD,0x7a16a30009d670a97b9cef32bef631647d27d2c72baf2da7c315846b77fb4dd4,9e7501f2f2127532327a67145e7202d60c84edc0cceba905a64a27383e9668d3,73443751770066784,1784200812554822863,1784220754,1784220927352,1,47,
6,2,addr_test1wr00ts2tu67wa7u4w6g3pgxgcl2nvtjch7830dhwrsdajqszug5ju,ARB/USD,0xa07b0b16be2da90cdddf6005fa086a68e4040d4afb9ff3aad1d4cf6b25cf5d64,cc2740093e4b4f21421db1a0e37c162c6365182d5746033b3e13193d370eb185,88321751339325736,1784200812554821979,1784219407,1784219488698,1,12,
7,2,addr_test1wqpyxkgxkkljawk90fed34tqn2nlvs44urjd09nxuzc69ycc26zxz,BTC/USD,0xc25bc1609422908547aa936db960fc188d4f76a8b430cecf1a07a2442ad99db8,175c5fe01151c9d8639bbedce220317fbf2e024946915bd19362eb8e261b34ee,64454275493973335212032,1784200812554822854,1784220743,1784220926397,1,27,876654
15,2,addr_test1wr00ts2tu67wa7u4w6g3pgxgcl2nvtjch7830dhwrsdajqszug5ju,USDC/USD,0x8890325e0cbcc9ce637197d1572ad0c5bf2311fac2357c5d059bf60ade97b502,9e7501f2f2127532327a67145e7202d60c84edc0cceba905a64a27383e9668d3,999753149663322944,1784200812554822860,1784220750,1784220927372,1,45,
16,2,addr_test1wr00ts2tu67wa7u4w6g3pgxgcl2nvtjch7830dhwrsdajqszug5ju,USDT/USD,0xefb97219ecc9de5f61ca68838f202824638e9d53f26cd87d2e18ab14f689affb,9e7501f2f2127532327a67145e7202d60c84edc0cceba905a64a27383e9668d3,999152500000000000,1784200812554822840,1784220718,1784220927362,1,42,
37,2,addr_test1wr00ts2tu67wa7u4w6g3pgxgcl2nvtjch7830dhwrsdajqszug5ju,SHIB/USD,0x1ea73d901e06bce23c62e803214db216d552b888a4378793caa9316e63ccf976,ba4173613eedfff16fc35efed72f9fac7e18a57433723f7bc685777b178d88c6,4158241159865,1784200812554822048,1784219515,1784219633716,1,11,
38,2,addr_test1wr00ts2tu67wa7u4w6g3pgxgcl2nvtjch7830dhwrsdajqszug5ju,NEIRO/USD,0xeb51bdb09e24eb3887927b4798256c8e1799d5c7c7ef2db0b7caa5b37cd65aa2,cc2740093e4b4f21421db1a0e37c162c6365182d5746033b3e13193d370eb185,61857619117550,1784200812554821966,1784219387,1784219488712,1,9,
